pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
394,"The ""python"" Command on Unix-Like Systems",Active,02-Mar-2011,32,3,4,0.16993887071820565
404,Python 2.8 Un-release Schedule,Final,09-Nov-2011,32,2,0,0.16007716232197325
397,Python launcher for Windows,Final,15-Mar-2011,32,4,1,0.13612381704831872
370,Per user site-packages directory,Final,11-Jan-2008,32,2,0,0.13265508189421682
373,Python 2.7 Release Schedule,Final,03-Nov-2008,32,2,1,0.10318710740301243
405,Python Virtual Environments,Final,13-Jun-2011,32,3,1,0.10132518149873904
486,Make the Python Launcher aware of virtual environments,Final,12-Feb-2015,32,1,2,0.043961254306082
514,Python registration in the Windows registry,Active,02-Feb-2016,32,1,1,0.043961254306082
439,Inclusion of implicit pip bootstrap in Python installation,Rejected,18-Mar-2013,32,0,3,0.0362567568344567
773,A Python Installation Manager for Windows,Accepted,21-Jan-2025,32,0,4,0.0362567568344567
3146,Merging Unladen Swallow into CPython,Withdrawn,01-Jan-2010,32,0,1,0.0362567568344567
