pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
11,CPython platform support,Active,07-Jul-2002,34,6,0,0.3978156654506442
776,Emscripten Support,Active,18-Mar-2025,34,2,1,0.12868674718546785
775,Make zlib required to build CPython,Withdrawn,24-Feb-2025,34,1,1,0.09030602975642964
730,Adding iOS as a supported platform,Final,09-Oct-2023,34,1,1,0.06956014219913388
783,Emscripten Packaging,Accepted,28-Mar-2025,34,1,1,0.06956014219913388
539,A New C-API for Thread-Local Storage in CPython,Final,20-Dec-2016,34,0,1,0.04881425464183814
738,Adding Android as a supported platform,Final,12-Dec-2023,34,0,2,0.04881425464183814
784,Adding Zstandard to the standard library,Final,06-Apr-2025,34,0,1,0.04881425464183814
816,WASI Support,Active,05-Nov-2025,34,0,1,0.04881425464183814
818,Adding the Core of the Pyodide Foreign Function Interface to Python,Draft,10-Dec-2025,34,0,2,0.04881425464183814
