pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
646,Variadic Generics,Final,16-Sep-2020,19,5,1,0.21918975096484195
637,Support for indexing with keyword arguments,Rejected,24-Aug-2020,19,1,1,0.20550141086573365
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final,20-Mar-2019,19,6,0,0.09266032430205497
585,Type Hinting Generics In Standard Collections,Final,03-Mar-2019,19,3,0,0.0834955885102546
604,Allow writing union types as ``X | Y``,Final,28-Aug-2019,19,4,1,0.06421124617166296
692,Using TypedDict for more precise \*\*kwargs typing,Final,29-May-2022,19,4,3,0.046567571845527
655,Marking individual TypedDict items as required or potentially-missing,Final,30-Jan-2021,19,2,2,0.04465366037377793
705,TypedDict: Read-only items,Final,07-Nov-2022,19,2,3,0.04327959696865296
612,Parameter Specification Variables,Final,18-Dec-2019,19,3,0,0.03131264104063461
728,TypedDict with Typed Extra Items,Accepted,12-Sep-2023,19,2,3,0.027406659384989665
764,Inline typed dictionaries,Draft,25-Oct-2024,19,1,4,0.023276313086584247
677,Callable Type Syntax,Rejected,13-Dec-2021,19,1,4,0.02246044223911424
645,Allow writing optional types as ``x?``,Withdrawn,25-Aug-2020,19,0,1,0.019196958849234218
747,Annotating Type Forms,Final,27-May-2024,19,0,1,0.019196958849234218
767,Annotating Read-Only Attributes,Draft,18-Nov-2024,19,0,1,0.019196958849234218
821,Support for unpacking TypedDicts in Callable type hints,Draft,12-Jan-2026,19,0,5,0.019196958849234218
827,Type Manipulation,Draft,27-Feb-2026,19,0,4,0.019196958849234218
