PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
591,Adding a final qualifier to typing,Final,15-Mar-2019,10,5,1,6,0.2596847426212884,0.743338497503218
586,Literal Types,Final,14-Mar-2019,10,3,1,4,0.25277866969533014,0.4169027452431773
646,Variadic Generics,Final,16-Sep-2020,10,5,1,6,0.10826090203131941,0.12994771687103215
637,Support for indexing with keyword arguments,Rejected,24-Aug-2020,10,1,1,2,0.10164466571359607,0.9903806654294246
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final,20-Mar-2019,10,7,2,9,0.046347063425005795,0.46324980866818305
585,Type Hinting Generics In Standard Collections,Final,03-Mar-2019,10,3,0,3,0.034176358676815004,0.16412407554784716
604,Allow writing union types as ``X | Y``,Final,28-Aug-2019,10,3,1,4,0.023161100441976896,0.780232701065718
692,Using TypedDict for more precise \*\*kwargs typing,Final,29-May-2022,10,4,3,7,0.021798224081407705,0.8385952182667041
705,TypedDict: Read-only items,Final,07-Nov-2022,10,2,4,6,0.02168681483971275,0.02168681483971275
655,Marking individual TypedDict items as required or potentially-missing,Final,30-Jan-2021,10,2,2,4,0.02040394621374659,0.48365375488192963
612,Parameter Specification Variables,Final,18-Dec-2019,10,3,0,3,0.01569033710142984,0.7959230381671478
728,TypedDict with Typed Extra Items,Accepted,12-Sep-2023,10,2,3,5,0.01373310312052307,0.7570716006237411
764,Inline typed dictionaries,Draft,25-Oct-2024,10,1,4,5,0.011663443166822697,0.8887359997158285
677,Callable Type Syntax,Rejected,13-Dec-2021,10,1,4,5,0.01125462144757324,0.8071776596147211
569,Python 3.8 Release Schedule,Final,27-Jan-2018,10,0,3,3,0.009619334570575417,0.857833887407855
698,Override Decorator for Static Typing,Final,05-Sep-2022,10,0,1,1,0.009619334570575417,0.8674532219784304
747,Annotating Type Forms,Final,27-May-2024,10,0,1,1,0.009619334570575417,0.8167969941852965
767,Annotating Read-Only Attributes,Draft,18-Nov-2024,10,0,1,1,0.009619334570575417,1.0
821,Support for unpacking TypedDicts in Callable type hints,Draft,12-Jan-2026,10,0,5,5,0.009619334570575417,0.8482145528372796
827,Type Manipulation,Draft,27-Feb-2026,10,0,4,4,0.009619334570575417,0.8770725565490058
