PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
505,None-aware operators,Deferred,18-Sep-2015,35,3,2,5,0.27761211955203147,0.9076046405312632
531,Existence checking operators,Withdrawn,25-Oct-2016,35,2,1,3,0.1963295417231678,0.36226542158797287
532,A circuit breaking protocol and binary operators,Deferred,30-Oct-2016,35,2,4,6,0.1893817935689624,0.5516472151569353
335,Overloadable Boolean Operators,Rejected,29-Aug-2004,35,3,0,3,0.12783470831764548,0.16593587986480507
535,Rich comparison chaining,Deferred,12-Nov-2016,35,1,2,3,0.07834530582229651,0.6299925209792318
510,Specialize functions with guards,Rejected,04-Jan-2016,35,1,0,1,0.05429418792157705,0.9618988284528402
511,API for code transformers,Rejected,04-Jan-2016,35,0,2,2,0.0381011715471596,0.9999999999999999
645,Allow writing optional types as ``x?``,Withdrawn,25-Aug-2020,35,0,1,1,0.0381011715471596,0.0381011715471596
