pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
266,Optimizing Global Variable/Attribute Access,Withdrawn,13-Aug-2001,6,5,0,0.129082108015116
218,Adding a Built-In Set Object Type,Final,31-Jul-2000,6,4,0,0.09812610827580742
267,Optimized Access to Module Namespaces,Deferred,23-May-2001,6,3,2,0.07034716954313583
280,Optimizing access to globals,Deferred,10-Feb-2002,6,3,2,0.07034716954313583
263,Defining Python Source Code Encodings,Final,06-Jun-2001,6,2,0,0.06516844076927342
282,A Logging System,Final,04-Feb-2002,6,2,0,0.06516844076927342
269,Pgen Module for Python,Deferred,24-Aug-2001,6,2,0,0.04045019013937291
286,Enhanced Argument Tuples,Deferred,03-Mar-2002,6,2,0,0.04045019013937291
322,Reverse Iteration,Final,24-Sep-2003,6,1,0,0.03804702688368814
278,Universal Newline Support,Final,14-Jan-2002,6,1,0,0.03633048170105616
285,Adding a bool type,Final,08-Mar-2002,6,1,0,0.03633048170105616
307,Extensions to the pickle protocol,Final,31-Jan-2003,6,1,0,0.03633048170105616
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final,05-Feb-2003,6,1,0,0.03633048170105616
270,uniq method for list objects,Rejected,21-Aug-2001,6,0,1,0.03392731844537139
283,Python 2.3 Release Schedule,Final,27-Feb-2002,6,0,12,0.03392731844537139
320,Python 2.4 Release Schedule,Final,29-Jul-2003,6,0,7,0.03392731844537139
329,Treating Builtins as Constants in the Standard Library,Rejected,18-Apr-2004,6,0,1,0.03392731844537139
337,Logging Usage in the Standard Library,Deferred,02-Oct-2004,6,0,1,0.03392731844537139
802,Display Syntax for the Empty Set,Draft,08-Aug-2025,6,0,1,0.03392731844537139
3120,Using UTF-8 as the default source encoding,Final,15-Apr-2007,6,0,1,0.03392731844537139
