pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
3101,Advanced String Formatting,Final,16-Apr-2006,16,7,0,0.18009467359482417
215,String Interpolation,Superseded,24-Jul-2000,16,4,0,0.12221787889041173
498,Literal String Interpolation,Final,01-Aug-2015,16,5,2,0.11099940396269012
701,Syntactic formalization of f-strings,Accepted,15-Nov-2022,16,3,2,0.07459163176361382
536,Final Grammar for Literal String Interpolation,Withdrawn,11-Dec-2016,16,1,2,0.05938966027950007
378,Format Specifier for Thousands Separator,Final,12-Mar-2009,16,1,1,0.05789256965740292
501,General purpose template literal strings,Withdrawn,08-Aug-2015,16,3,6,0.057656984319792916
750,Template Strings,Final,08-Jul-2024,16,2,3,0.04762453972733717
292,Simpler String Substitutions,Final,18-Jun-2002,16,2,1,0.04056403809350885
306,How to Change Python's Grammar,Withdrawn,29-Jan-2003,16,1,0,0.03945639189268986
475,Retry system calls failing with EINTR,Final,29-Jul-2014,16,1,0,0.03553389098500746
682,Format Specifier for Signed Zero,Final,29-Jan-2022,16,1,1,0.03553389098500746
502,String Interpolation - Extended Discussion,Rejected,10-Aug-2015,16,0,5,0.02768888916964267
786,Precision and modulo-precision flag format specifiers for integer fields,Draft,04-Apr-2025,16,0,3,0.02768888916964267
787,Safer subprocess usage using t-strings,Deferred,13-Apr-2025,16,0,2,0.02768888916964267
3126,Remove Implicit String Concatenation,Rejected,29-Apr-2007,16,0,1,0.02768888916964267
3127,Integer Literal Support and Syntax,Final,14-Mar-2007,16,0,2,0.02768888916964267
