PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
484,Type Hints,Final,29-Sep-2014,2,12,6,18,0.23774088795839698,0.5848201382267919
526,Syntax for Variable Annotations,Final,09-Aug-2016,2,8,1,9,0.12159198394252409,0.1878051895697378
3107,Function Annotations,Final,02-Dec-2006,2,7,0,7,0.11365623172993072,0.6984763699567227
563,Postponed Evaluation of Annotations,Superseded,08-Sep-2017,2,7,8,15,0.07786291317831383,0.9430764454167289
483,The Theory of Type Hints,Final,19-Dec-2014,2,3,2,5,0.057209420810282664,0.347079250268395
649,Deferred Evaluation Of Annotations Using Descriptors,Final,11-Jan-2021,2,7,4,11,0.0456624718968705,0.055937838762042114
482,Literature Overview for Type Hints,Final,08-Jan-2015,2,1,1,2,0.0439564869980616,0.28986982945811235
561,Distributing and Packaging Type Information,Final,09-Sep-2017,2,1,3,4,0.0439564869980616,0.8520268324399672
557,Data Classes,Final,02-Jun-2017,2,4,1,5,0.034393435566538566,0.7680629055186904
695,Type Parameter Syntax,Final,15-Jun-2022,2,3,4,7,0.031812616071432535,0.9748890614881615
544,Protocols: Structural subtyping (static duck typing),Final,05-Mar-2017,2,2,3,5,0.022915052894883832,0.23563797559487912
749,Implementing PEP 649,Final,28-May-2024,2,2,4,6,0.021459386428245752,0.7895222919469361
560,Core support for typing module and generic types,Final,03-Sep-2017,2,1,3,4,0.018548053494969588,0.8080703454419057
696,Type Defaults for Type Parameters,Final,14-Jul-2022,2,1,1,2,0.014835571646666875,0.9897246331348283
593,Flexible function and variable annotations,Final,26-Apr-2019,2,1,2,3,0.014642366265085858,0.20244755583482366
681,Data Class Transforms,Final,02-Dec-2021,2,1,2,3,0.014642366265085858,0.7131187362218085
690,Lazy Imports,Rejected,29-Apr-2022,2,1,2,3,0.013186699798447776,0.865213532238415
638,Syntactic Macros,Draft,24-Sep-2020,2,0,1,1,0.010275366865171612,0.9999999999999999
671,Syntax for late-bound function argument defaults,Draft,24-Oct-2021,2,0,2,2,0.010275366865171612,0.2127229226999953
673,Self Type,Final,10-Nov-2021,2,0,2,2,0.010275366865171612,0.24591334246005073
712,"Adding a ""converter"" parameter to dataclasses.field",Rejected,01-Jan-2023,2,0,2,2,0.010275366865171612,0.010275366865171612
746,Type checking Annotated metadata,Draft,20-May-2024,2,0,2,2,0.010275366865171612,0.7233941030869802
781,Make ``TYPE_CHECKING`` a built-in constant,Draft,24-Mar-2025,2,0,3,3,0.010275366865171612,0.06621320562721372
810,Explicit lazy imports,Accepted,02-Oct-2025,2,0,3,3,0.010275366865171612,0.7336694699521518
