pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
462,Core development workflow automation for CPython,Withdrawn,23-Jan-2014,17,3,3,0.10938140141609341
507,Migrate CPython to Git and GitLab,Rejected,30-Sep-2015,17,3,3,0.10429774479003716
101,Doing Python Releases 101,Active,22-Aug-2001,17,4,2,0.09969314094759467
474,Creating forge.python.org,Withdrawn,19-Jul-2014,17,3,2,0.09850737635225783
347,Migrating the Python CVS to Subversion,Final,14-Jul-2004,17,2,0,0.07673122547661976
42,Feature Requests,Withdrawn,12-Sep-2000,17,1,0,0.0708987713896285
102,Doing Python Micro Releases,Superseded,09-Jan-2002,17,1,1,0.0630555830343103
761,Deprecating PGP signatures for CPython artifacts,Active,08-Oct-2024,17,1,0,0.0630555830343103
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn,29-Nov-2014,17,2,3,0.06099269111186917
3,Guidelines for Handling Bug Reports,Withdrawn,25-Sep-2000,17,2,1,0.059074066748855514
495,Local Time Disambiguation,Final,02-Aug-2015,17,1,1,0.038267815124528974
512,Migrating from hg.python.org to GitHub,Final,17-Jan-2015,17,1,3,0.037966262804426394
385,Migrating from Subversion to Mercurial,Final,25-May-2009,17,1,1,0.029476526582147722
235,Import on Case-Insensitive Platforms,Final,21-Feb-2001,17,1,0,0.026546097068020635
6,Bug Fix Releases,Superseded,15-Mar-2001,17,0,3,0.02068523803976647
374,Choosing a distributed VCS for the Python project,Final,07-Nov-2008,17,0,2,0.02068523803976647
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected,08-Aug-2015,17,0,1,0.02068523803976647
