pep_number,title,status,created,group_id,in_degree_group,out_degree_group,pagerank_group
3102,Keyword-Only Arguments,Final,22-Apr-2006,22,4,0,0.2139153680615829
3115,Metaclasses in Python 3000,Final,07-Mar-2007,22,3,1,0.10450869384159739
3130,Access to Current Module/Class/Function,Rejected,22-Apr-2007,22,2,0,0.07927734933368769
3135,New Super,Final,28-Apr-2007,22,2,2,0.06828009934396939
3113,Removal of Tuple Parameter Unpacking,Final,02-Mar-2007,22,2,1,0.06761177208668175
570,Python Positional-Only Parameters,Final,20-Jan-2018,22,1,3,0.06485668051612961
422,Simpler customisation of class creation,Withdrawn,05-Jun-2012,22,2,3,0.06360630482182107
487,Simpler customisation of class creation,Final,27-Feb-2015,22,2,3,0.06360630482182107
367,New Super,Superseded,28-Apr-2007,22,1,2,0.05563318840882948
372,Adding an ordered dictionary to collections,Final,15-Jun-2008,22,1,1,0.0492363816245521
457,Notation For Positional-Only Parameters,Final,08-Oct-2013,22,1,1,0.04498952252665134
520,Preserving Class Attribute Definition Order,Final,07-Jun-2016,22,1,2,0.04463593841911119
375,Python 3.1 Release Schedule,Final,08-Feb-2009,22,0,1,0.0266141320645217
736,Shorthand syntax for keyword arguments at invocation,Rejected,28-Nov-2023,22,0,1,0.0266141320645217
3114,Renaming iterator.next() to iterator.__next__(),Final,04-Mar-2007,22,0,1,0.0266141320645217
