PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
567,Context Variables,Final,12-Dec-2017,33,3,2,5,0.2807907037439693,0.2807907037439693
550,Execution Context,Withdrawn,11-Aug-2017,33,3,2,5,0.2180142047220703,0.4988049084660396
568,Generator-sensitivity for Context Variables,Deferred,04-Jan-2018,33,2,2,4,0.1529925802174226,0.6517974886834622
521,Managing global context via 'with' blocks in generators and coroutines,Withdrawn,27-Apr-2015,33,1,1,2,0.1166321167907914,0.7684296054742537
442,Safe object finalization,Final,18-May-2013,33,2,0,2,0.0714371765377125,0.8398667820119663
533,Deterministic cleanup for iterators,Deferred,18-Oct-2016,33,2,1,3,0.0438471927286862,0.8837139747406525
670,Convert macros to functions in the Python C API,Final,19-Oct-2021,33,1,0,1,0.0341665541071966,0.9178805288478492
789,Preventing task-cancellation bugs by limiting yield in async generators,Draft,14-May-2024,33,1,3,4,0.0341665541071966,0.9520470829550458
620,Hide implementation details from the C API,Withdrawn,19-Jun-2020,33,0,2,2,0.0239764585224772,0.9760235414775232
806,Mixed sync/async context managers with precise async marking,Draft,05-Sep-2025,33,0,2,2,0.0239764585224772,1.0000000000000004
