PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
484,Type Hints,Final,29-Sep-2014,2,13,6,19,0.241690346272143,0.241690346272143
526,Syntax for Variable Annotations,Final,09-Aug-2016,2,8,1,9,0.1183345775561123,0.3600249238282553
3107,Function Annotations,Final,02-Dec-2006,2,7,0,7,0.1113732416496228,0.4713981654778781
563,Postponed Evaluation of Annotations,Superseded,08-Sep-2017,2,7,8,15,0.0751223079976707,0.5465204734755489
483,The Theory of Type Hints,Final,19-Dec-2014,2,3,2,5,0.0546894741131366,0.6012099475886855
649,Deferred Evaluation Of Annotations Using Descriptors,Final,11-Jan-2021,2,8,4,12,0.0490976540066111,0.6503076015952967
482,Literature Overview for Type Hints,Final,08-Jan-2015,2,1,1,2,0.0436486973330599,0.6939562989283566
561,Distributing and Packaging Type Information,Final,09-Sep-2017,2,1,3,4,0.0436486973330599,0.7376049962614166
557,Data Classes,Final,02-Jun-2017,2,4,1,5,0.0320183870803766,0.7696233833417933
695,Type Parameter Syntax,Final,15-Jun-2022,2,3,5,8,0.0292938397116585,0.7989172230534518
544,Protocols: Structural subtyping (static duck typing),Final,05-Mar-2017,2,2,3,5,0.02139158939486,0.8203088124483119
749,Implementing PEP 649,Final,28-May-2024,2,2,4,6,0.0200584632370006,0.8403672756853126
560,Core support for typing module and generic types,Final,03-Sep-2017,2,1,3,4,0.0173922109212819,0.8577594866065945
613,Explicit Type Aliases,Final,21-Jan-2020,2,1,1,2,0.0143901785785327,0.8721496651851273
696,Type Defaults for Type Parameters,Final,14-Jul-2022,2,1,1,2,0.0136725963847217,0.885822261569849
593,Flexible function and variable annotations,Final,26-Apr-2019,2,1,2,3,0.0134096265796941,0.8992318881495431
681,Data Class Transforms,Final,02-Dec-2021,2,1,2,3,0.0134096265796941,0.9126415147292372
690,Lazy Imports,Rejected,29-Apr-2022,2,1,2,3,0.0120765004218347,0.924718015151072
638,Syntactic Macros,Draft,24-Sep-2020,2,0,1,1,0.009410248106116,0.934128263257188
671,Syntax for late-bound function argument defaults,Draft,24-Oct-2021,2,0,2,2,0.009410248106116,0.943538511363304
673,Self Type,Final,10-Nov-2021,2,0,2,2,0.009410248106116,0.95294875946942
712,"Adding a ""converter"" parameter to dataclasses.field",Rejected,01-Jan-2023,2,0,2,2,0.009410248106116,0.962359007575536
746,Type checking Annotated metadata,Draft,20-May-2024,2,0,2,2,0.009410248106116,0.971769255681652
747,Annotating Type Forms,Draft,27-May-2024,2,0,1,1,0.009410248106116,0.9811795037877682
781,Make ``TYPE_CHECKING`` a built-in constant,Draft,24-Mar-2025,2,0,3,3,0.009410248106116,0.9905897518938842
810,Explicit lazy imports,Accepted,02-Oct-2025,2,0,3,3,0.009410248106116,1.0000000000000002
