PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
275,Switching on Multiple Values,Rejected,10-Nov-2001,9,2,1,3,0.1785028383961784,0.1785028383961784
3103,A Switch/Case Statement,Rejected,25-Jun-2006,9,2,1,3,0.1785028383961784,0.3570056767923568
448,Additional Unpacking Generalizations,Final,29-Jun-2013,9,2,0,2,0.064291332647517,0.4212970094398739
634,Structural Pattern Matching: Specification,Final,12-Sep-2020,9,6,4,10,0.0596174484518803,0.4809144578917542
635,Structural Pattern Matching: Motivation and Rationale,Final,12-Sep-2020,9,5,7,12,0.0595192038472929,0.5404336617390473
572,Assignment Expressions,Final,28-Feb-2018,9,4,0,4,0.0589834793345572,0.5994171410736044
622,Structural Pattern Matching,Superseded,23-Jun-2020,9,4,3,7,0.0567493561140676,0.6561664971876722
636,Structural Pattern Matching: Tutorial,Final,12-Sep-2020,9,6,3,9,0.0563268402749,0.7124933374625722
584,Add Union Operators To dict,Final,01-Mar-2019,9,2,1,3,0.0428583300731106,0.7553516675356828
617,New PEG parser for CPython,Final,24-Mar-2020,9,2,0,2,0.0428583300731106,0.7982099976087935
640,Unused variable syntax,Rejected,04-Oct-2020,9,2,4,6,0.0291532621119416,0.8273632597207351
626,Precise line numbers for debugging and other tools.,Final,15-Jul-2020,9,2,0,2,0.0278612115013297,0.8552244712220649
618,Add Optional Length-Checking To zip,Final,01-May-2020,9,1,0,1,0.0223215160348791,0.877545987256944
644,Require OpenSSL 1.1.1 or newer,Final,27-Oct-2020,9,1,0,1,0.0223215160348791,0.8998675032918232
534,Improved Errors for Missing Standard Library Modules,Withdrawn,05-Sep-2016,9,1,0,1,0.0219258235015612,0.9217933267933844
619,Python 3.10 Release Schedule,Active,25-May-2020,9,0,6,6,0.0195516683016538,0.9413449950950382
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected,26-Sep-2020,9,0,7,7,0.0195516683016538,0.960896663396692
653,Precise Semantics for Pattern Matching,Draft,09-Feb-2021,9,0,3,3,0.0195516683016538,0.980448331698346
798,Unpacking in Comprehensions,Accepted,19-Jul-2025,9,0,2,2,0.0195516683016538,0.9999999999999998
