PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
277,Unicode file name support for Windows NT,Final,11-Jan-2002,26,1,0,1,0.0859512302925086,0.0859512302925086
293,Codec Error Handling Callbacks,Final,18-Jun-2002,26,1,0,1,0.0859512302925086,0.1719024605850172
355,Path - Object oriented filesystem paths,Rejected,24-Jan-2006,26,1,0,1,0.0859512302925086,0.2578536908775258
411,Provisional packages in the Python standard library,Superseded,10-Feb-2012,26,1,6,7,0.0859512302925086,0.3438049211700344
2,Procedure for Adding New Modules,Active,07-Jul-2001,26,2,0,2,0.0768781988969473,0.4206831200669817
368,Standard image protocol and class,Deferred,28-Jun-2007,26,2,0,2,0.0768781988969473,0.4975613189639291
3143,Standard daemon process library,Deferred,26-Jan-2009,26,2,0,2,0.0768781988969473,0.5744395178608763
3144,IP Address Manipulation Library for the Python Standard Library,Final,06-Feb-2012,26,2,0,2,0.0768781988969473,0.6513177167578237
3153,Asynchronous IO support,Superseded,29-May-2011,26,2,0,2,0.0768781988969473,0.728195915654771
383,Non-decodable Bytes in System Character Interfaces,Final,22-Apr-2009,26,1,2,3,0.0762824035315138,0.8044783191862849
428,The pathlib module -- object-oriented filesystem paths,Final,30-Jul-2012,26,1,2,3,0.0762824035315138,0.8807607227177987
408,Standard library __preview__ package,Rejected,07-Jan-2012,26,1,5,6,0.065707808476892,0.9464685311946908
519,Adding a file system path protocol,Final,11-May-2016,26,0,2,2,0.0535314688053093,1.0
