PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
755,Implicit namespace policy for PyPI,Draft,05-Sep-2024,1,0,2,2,0.013599276928418034,0.6903973435340356
759,External Wheel Hosting,Withdrawn,01-Oct-2024,1,0,7,7,0.013599276928418034,0.814250465854894
807,Index support for Trusted Publishing,Draft,19-Sep-2025,1,0,1,1,0.013599276928418034,0.5263363285523281
825,Wheel Variants: Package Format,Draft,17-Feb-2026,1,0,2,2,0.013599276928418034,0.27359387049475486
833,Freezing the HTML simple repository API,Draft,21-Apr-2026,1,0,8,8,0.013599276928418034,0.0425760254028103
484,Type Hints,Final,29-Sep-2014,2,12,6,18,0.23476634267978141,0.5902303232937117
526,Syntax for Variable Annotations,Final,09-Aug-2016,2,8,1,9,0.11993726206947214,0.18430316782462297
3107,Function Annotations,Final,02-Dec-2006,2,7,0,7,0.11221322690244638,0.7024435501961581
563,Postponed Evaluation of Annotations,Superseded,08-Sep-2017,2,7,8,15,0.07548719518598472,0.94329128159265
483,The Theory of Type Hints,Final,19-Dec-2014,2,3,2,5,0.056670861732237926,0.35546398061393025
649,Deferred Evaluation Of Annotations Using Descriptors,Final,11-Jan-2021,2,7,4,11,0.04383970852131012,0.05410280713823047
482,Literature Overview for Type Hints,Final,08-Jan-2015,2,1,1,2,0.04352273473536456,0.29879311888169235
561,Distributing and Packaging Type Information,Final,09-Sep-2017,2,1,3,4,0.04352273473536456,0.8546331280384105
557,Data Classes,Final,02-Jun-2017,2,4,1,5,0.03404113218041896,0.7716357678543396
695,Type Parameter Syntax,Final,15-Jun-2022,2,3,4,7,0.03167930241105368,0.9749705840037036
544,Protocols: Structural subtyping (static duck typing),Final,05-Mar-2017,2,2,3,5,0.022645172475687505,0.24500728552940745
749,Implementing PEP 649,Final,28-May-2024,2,2,4,6,0.021191242600020317,0.79282701045436
560,Core support for typing module and generic types,Final,03-Sep-2017,2,1,3,4,0.018283382848685942,0.8111103933030459
696,Type Defaults for Type Parameters,Final,14-Jul-2022,2,1,1,2,0.01476631737937592,0.9897369013830795
593,Flexible function and variable annotations,Final,26-Apr-2019,2,1,2,3,0.014624888243921913,0.19892805606854486
681,Data Class Transforms,Final,02-Dec-2021,2,1,2,3,0.014624888243921913,0.71706843844008
661,Sentinel Values,Draft,06-Jun-2021,2,1,0,1,0.013170958368254724,0.2120990144367996
690,Lazy Imports,Rejected,29-Apr-2022,2,1,2,3,0.013170958368254724,0.8678040864066652
638,Syntactic Macros,Draft,24-Sep-2020,2,0,1,1,0.01026309861692035,0.9999999999999999
671,Syntax for late-bound function argument defaults,Draft,24-Oct-2021,2,0,3,3,0.01026309861692035,0.22236211305371995
673,Self Type,Final,10-Nov-2021,2,0,2,2,0.01026309861692035,0.2552703841463278
712,"Adding a ""converter"" parameter to dataclasses.field",Rejected,01-Jan-2023,2,0,2,2,0.01026309861692035,0.01026309861692035
746,Type checking Annotated metadata,Draft,20-May-2024,2,0,2,2,0.01026309861692035,0.7273315370570004
781,Make ``TYPE_CHECKING`` a built-in constant,Draft,24-Mar-2025,2,0,3,3,0.01026309861692035,0.06436590575515082
810,Explicit lazy imports,Accepted,02-Oct-2025,2,0,3,3,0.01026309861692035,0.7375946356739207
387,Backwards Compatibility Policy,Active,18-Jun-2009,3,8,2,10,0.1682183666115343,0.22094655881744596
