PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
435,Adding an Enum type to the Python standard library,Final,23-Feb-2013,8,3,1,4,0.1883564767111062,0.1883564767111062
354,Enumerations in Python,Superseded,20-Dec-2005,8,1,1,2,0.1769014862132833,0.3652579629243896
429,Python 3.4 Release Schedule,Final,17-Oct-2012,8,1,9,10,0.0729557598552518,0.4382137227796414
549,Instance Descriptors,Rejected,04-Sep-2017,8,1,0,1,0.0670990269431409,0.5053127497227824
453,Explicit bootstrapping of pip in Python installations,Final,10-Aug-2013,8,4,1,5,0.0660578707448954,0.5713706204676778
562,Module __getattr__ and __dir__,Final,09-Sep-2017,8,3,1,4,0.059167601086656,0.6305382215543339
615,Support for the IANA Time Zone Database in the Standard Library,Final,22-Feb-2020,8,1,3,4,0.0486702858784485,0.6792085074327825
445,Add new APIs to customize Python memory allocators,Final,15-Jun-2013,8,2,0,2,0.0438391148575402,0.7230476222903227
431,Time zone support improvements,Superseded,11-Dec-2012,8,2,1,3,0.037486735845293,0.7605343581356158
433,Easier suppression of file descriptor inheritance,Superseded,10-Jan-2013,8,1,0,1,0.0369488451993008,0.7974832033349166
446,Make newly created file descriptors non-inheritable,Final,05-Aug-2013,8,1,1,2,0.023696814495628,0.8211800178305446
447,Add __getdescriptor__ method to metaclass,Deferred,12-Jun-2013,8,1,0,1,0.023696814495628,0.8448768323261727
450,Adding A Statistics Module To The Standard Library,Final,01-Aug-2013,8,1,0,1,0.023696814495628,0.8685736468218008
454,Add a new tracemalloc module to trace Python memory allocations,Final,03-Sep-2013,8,1,1,2,0.023696814495628,0.8922704613174288
455,Adding a key-transforming dictionary to collections,Rejected,13-Sep-2013,8,1,0,1,0.023696814495628,0.9159672758130568
477,Backport ensurepip (PEP 453) to Python 2.7,Final,26-Aug-2014,8,0,1,1,0.0168065448373886,0.9327738206504456
661,Sentinel Values,Deferred,06-Jun-2021,8,0,1,1,0.0168065448373886,0.9495803654878342
711,PyBI: a standard format for distributing Python Binaries,Draft,06-Apr-2023,8,0,1,1,0.0168065448373886,0.9663869103252228
713,Callable Modules,Rejected,20-Apr-2023,8,0,1,1,0.0168065448373886,0.9831934551626116
726,Module ``__setattr__`` and ``__delattr__``,Rejected,24-Aug-2023,8,0,1,1,0.0168065448373886,1.0000000000000002
