group_id,pep_count,density
0,30,0.0896551724137931
1,27,0.06695156695156695
2,26,0.1
3,23,0.08300395256916997
4,22,0.07792207792207792
5,21,0.1523809523809524
6,21,0.06904761904761905
7,21,0.10476190476190476
8,20,0.06315789473684211
9,19,0.12280701754385964
10,18,0.15359477124183007
11,18,0.10457516339869281
12,18,0.17320261437908496
13,18,0.14052287581699346
14,17,0.09558823529411764
15,17,0.09191176470588236
16,17,0.15808823529411764
17,17,0.08455882352941177
18,17,0.09191176470588236
19,17,0.09191176470588236
20,17,0.08088235294117647
21,16,0.07083333333333333
22,15,0.10476190476190476
23,15,0.13333333333333333
24,14,0.15934065934065933
25,14,0.14285714285714285
26,13,0.10897435897435898
27,12,0.14393939393939395
28,12,0.1893939393939394
29,12,0.09848484848484848
30,11,0.1
31,11,0.16363636363636364
32,10,0.13333333333333333
33,10,0.16666666666666666
34,10,0.1111111111111111
35,8,0.21428571428571427
36,7,0.19047619047619047
37,6,0.16666666666666666
38,5,0.2
39,4,0.5833333333333334
40,3,0.3333333333333333
41,3,0.3333333333333333
42,3,0.6666666666666666
43,3,0.5
44,2,0.5
45,2,0.5
46,2,0.5
47,2,0.5
